100,29898,10197,29700
200,119798,40397,119400
300,269698,90597,269100
400,479598,160797,478800
500,749498,250997,748500
600,1079398,361197,1078200
700,1469298,491397,1467900
800,1919198,641597,1917600
900,2429098,811797,2427300
1000,2998998,1001997,2997000
