100,19926,5211,29700
200,81030,21013,119400
300,179850,45673,269100
400,320498,81247,478800
500,492286,122391,748500
600,706866,174931,1078200
700,965014,239255,1467900
800,1267482,315739,1917600
900,1602246,398371,2427300
1000,1997822,501409,2997000
